,매장명,주소,위도,경도
0,역삼아레나빌딩  ,서울특별시 강남구 언주로 425 (역삼동)1522-3232,37.5010689,127.0430285
1,논현역사거리  ,서울특별시 강남구 강남대로 538 (논현동)1522-3232,37.5135304,127.0315341
2,신사역성일빌딩  ,서울특별시 강남구 강남대로 584 (논현동)1522-3232,37.5135304,127.0315341
3,국기원사거리  ,서울특별시 강남구 테헤란로 125 (역삼동)1522-3232,37.499549,127.0316604
4,대치재경빌딩R  ,서울특별시 강남구 남부순환로 2947 (대치동)1522-3232,37.4945186,127.0626332
5,봉은사역  ,서울특별시 강남구 봉은사로 619 (삼성동)1522-3232,37.5149998,127.0631169
6,압구정윤성빌딩  ,서울특별시 강남구 논현로 834 (신사동)1522-3232,37.5227934,127.0286009
7,코엑스별마당  ,서울특별시 강남구 영동대로 513 (삼성동)1522-3232,37.5101935,127.0585824
8,삼성역섬유센터R  ,서울특별시 강남구 테헤란로 518 (대치동)1522-3232,37.5075512,127.060561
9,압구정R  ,서울특별시 강남구 언주로 861 (신사동)1522-3232,37.5273669,127.0330761
10,수서역R  ,서울특별시 강남구 광평로 281 (수서동)1522-3232,37.4879723,127.1026505
11,양재강남빌딩R  ,서울특별시 강남구 남부순환로 2621 (도곡동)1522-3232,37.4898434,127.0438136
12,선릉동신빌딩R  ,서울특별시 강남구 테헤란로 409 (삼성동)1522-3232,37.5053116,127.0503634
13,봉은사로선정릉  ,서울특별시 강남구 봉은사로 446 (삼성동)1522-3232,37.5112773,127.048547
14,강남오거리  ,서울특별시 강남구 봉은사로2길 39 (역삼동)1522-3232,37.5020667,127.0266414
15,스타필드코엑스몰R  ,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호1522-3232,37.5101935,127.0585824
16,강남구청정문  ,서울특별시 강남구 학동로 419 (청담동)1522-3232,37.5182675,127.0459628
17,도곡공원  ,서울특별시 강남구 도곡로 205 (역삼동)1522-3232,37.493073,127.0412545
18,강남R  ,서울특별시 강남구 강남대로 390 (역삼동)1522-3232,37.4999072,127.0373932
19,대치은마사거리  ,서울특별시 강남구 도곡로 457 (대치동)1522-3232,37.4989728,127.060172
20,청담영동대로  ,서울특별시 강남구 영동대로 720 (청담동)1522-3232,37.522156,127.0564489
21,압구정  ,서울특별시 강남구 압구정로30길 17 (신사동)1522-3232,37.5262829,127.0295602
22,신사가로수  ,서울특별시 강남구 가로수길 59 1522-3232,37.524609,127.022951
23,청담스타R  ,서울특별시 강남구 도산대로57길 24 (청담동)1522-3232,37.5252162,127.0418275
24,강남우성  ,서울특별시 강남구 강남대로 328 (역삼동)1522-3232,37.4999072,127.0373932
25,학동사거리  ,서울특별시 강남구 도산대로 328 (논현동)1522-3232,37.52236449999999,127.0379543
26,대치사거리  ,서울특별시 강남구 삼성로 402 (대치동)1522-3232,37.5033312,127.0588167
27,포스코사거리  ,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩1522-3232,37.5075307,127.0574271
28,을지병원사거리  ,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)1522-3232",37.5189305,127.0346042
29,신사역  ,서울특별시 강남구 도산대로 108 (논현동) 렉스타워1522-3232,37.516159,127.020635
